start_time, end_time, class, beam, duration_minutes
2013-11-02 03:12:30, 2013-11-02 03:17:30, 1, 1, 5.0
2013-11-02 04:52:30, 2013-11-02 04:57:30, 1, 1, 5.0
2013-11-02 15:12:30, 2013-11-02 15:17:30, 1, 2, 5.0
2013-11-02 03:12:30, 2013-11-02 03:17:30, 1, 3, 5.0
2013-11-02 04:47:30, 2013-11-02 05:02:30, 1, 3, 15.0
2013-11-03 05:22:30, 2013-11-03 05:27:30, 1, 3, 5.0
2013-11-04 17:12:30, 2013-11-04 17:17:30, 3, 3, 5.0
2013-11-05 06:12:30, 2013-11-05 06:17:30, 1, 1, 5.0
2013-11-05 05:47:30, 2013-11-05 06:02:30, 1, 2, 15.0
2013-11-06 07:52:30, 2013-11-06 08:02:30, 1, 3, 10.0
2013-11-06 09:17:30, 2013-11-06 09:22:30, 1, 3, 5.0
2013-11-06 09:32:30, 2013-11-06 09:42:30, 1, 3, 10.0
2013-11-07 08:47:30, 2013-11-07 08:52:30, 1, 3, 5.0
2013-11-08 09:52:30, 2013-11-08 09:57:30, 1, 1, 5.0
2013-11-08 10:27:30, 2013-11-08 10:37:30, 1, 1, 10.0
2013-11-08 09:47:30, 2013-11-08 09:52:30, 1, 2, 5.0
2013-11-08 12:02:30, 2013-11-08 12:07:30, 1, 2, 5.0
2013-11-08 09:02:30, 2013-11-08 09:07:30, 1, 3, 5.0
2013-11-08 09:22:30, 2013-11-08 09:27:30, 1, 3, 5.0
2013-11-08 09:47:30, 2013-11-08 09:57:30, 1, 3, 10.0
2013-11-08 10:32:30, 2013-11-08 10:37:30, 1, 3, 5.0
2013-11-10 11:42:30, 2013-11-10 11:47:30, 1, 3, 5.0
2013-11-10 11:52:30, 2013-11-10 11:57:30, 1, 3, 5.0
2013-11-10 12:22:30, 2013-11-10 12:42:30, 1, 3, 20.0
2013-11-12 01:47:30, 2013-11-12 01:52:30, 1, 2, 5.0
2013-11-12 14:32:30, 2013-11-12 14:37:30, 1, 2, 5.0
2013-11-13 16:02:30, 2013-11-13 16:07:30, 1, 2, 5.0
2013-11-13 19:02:30, 2013-11-13 19:07:30, 3, 2, 5.0
2013-11-13 15:17:30, 2013-11-13 15:22:30, 1, 3, 5.0
2013-11-13 19:02:30, 2013-11-13 19:07:30, 1, 3, 5.0
2013-11-15 16:47:30, 2013-11-15 16:52:30, 1, 2, 5.0
2013-11-15 16:47:30, 2013-11-15 16:52:30, 1, 3, 5.0
2013-11-17 19:47:30, 2013-11-17 19:52:30, 1, 2, 5.0
2013-11-18 12:12:30, 2013-11-18 12:17:30, 1, 2, 5.0
2013-11-24 12:57:30, 2013-11-24 13:02:30, 1, 1, 5.0
2013-11-24 12:57:30, 2013-11-24 13:02:30, 1, 2, 5.0
2013-11-30 08:57:30, 2013-11-30 09:02:30, 1, 3, 5.0
2014-12-11 16:52:30, 2014-12-11 16:57:30, 1, 2, 5.0
2014-12-11 17:47:30, 2014-12-11 18:02:30, 1, 2, 15.0
2014-12-11 18:37:30, 2014-12-11 18:42:30, 1, 2, 5.0
2014-12-11 19:27:30, 2014-12-11 19:32:30, 1, 2, 5.0
2014-12-11 19:37:30, 2014-12-11 19:42:30, 1, 2, 5.0
2014-12-11 19:47:30, 2014-12-11 19:57:30, 1, 2, 10.0
2014-12-11 20:27:30, 2014-12-11 20:32:30, 1, 2, 5.0
2014-12-11 21:07:30, 2014-12-11 21:12:30, 1, 2, 5.0
2014-12-11 21:17:30, 2014-12-11 21:27:30, 1, 2, 10.0
2014-12-11 21:37:30, 2014-12-11 21:47:30, 1, 2, 10.0
2014-12-11 22:32:30, 2014-12-11 22:37:30, 1, 2, 5.0
2014-12-11 22:52:30, 2014-12-11 23:02:30, 1, 2, 10.0
2014-12-11 02:17:30, 2014-12-11 02:22:30, 3, 3, 5.0
2014-12-12 00:07:30, 2014-12-12 00:17:30, 1, 2, 10.0
2014-12-12 00:47:30, 2014-12-12 00:52:30, 1, 2, 5.0
2014-12-18 08:02:30, 2014-12-18 08:07:30, 1, 3, 5.0
